cowcode,country,bureau,year,quarter,yearquarter,time,atr100,atr50,delibck,insurg_fatalities,insurg_events,intercomm_events,intercomm_fatalities,interstate_fatalities,protests,progovmilitias,regimechange,rallies,elections,blackouts,pts,vdem,anocracy
698,Oman,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
770,Pakistan,SCA,2017,Q4,2017 Q4,1,0,0,70,76,18,17,29,24,"1,121",1,0,0,0,1,4,1,1
840,Philippines,EAP,2017,Q4,2017 Q4,1,0,1,197,315,149,6,2,3,83,1,0,0,0,0,4,2,1
694,Qatar,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
484,Republic of Congo,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,1
360,Romania,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1
365,Russia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1
517,Rwanda,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
670,Saudi Arabia,NEA,2017,Q4,2017 Q4,1,0,0,0,3,1,0,0,829,0,0,1,0,0,0,3,0,0
433,Senegal,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,2,1
345,Serbia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
451,Sierra Leone,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,1
520,Somalia,AF,2017,Q4,2017 Q4,1,0,1,173,"1,127",297,71,120,506,39,1,0,0,1,1,4,0,0
560,South Africa,AF,2017,Q4,2017 Q4,1,0,0,11,0,0,0,0,0,101,0,0,0,0,0,4,2,1
626,South Sudan,AF,2017,Q4,2017 Q4,1,1,1,245,655,124,30,322,0,14,1,0,0,0,1,5,0,0
780,Sri Lanka,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,89,1,0,0,0,1,3,2,1
625,Sudan,AF,2017,Q4,2017 Q4,1,0,0,57,52,14,46,62,0,20,1,0,0,0,0,5,1,1
652,Syria,NEA,2017,Q4,2017 Q4,1,1,1,405,"4,706","1,672",7,53,"1,706",35,1,0,0,0,0,5,0,0
702,Tajikistan,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
510,Tanzania,AF,2017,Q4,2017 Q4,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,1,1
800,Thailand,EAP,2017,Q4,2017 Q4,1,0,0,2,9,27,0,0,0,7,1,0,0,0,0,4,0,0
461,Togo,AF,2017,Q4,2017 Q4,1,0,0,12,0,0,0,0,0,16,1,0,0,0,1,3,1,1
616,Tunisia,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,91,1,0,0,0,0,2,3,0
640,Turkey,EUR,2017,Q4,2017 Q4,1,0,0,7,298,106,5,6,2,45,1,0,0,0,1,5,1,1
701,Turkmenistan,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0
500,Uganda,AF,2017,Q4,2017 Q4,1,0,0,5,2,2,0,0,0,21,1,0,0,0,0,3,1,1
369,Ukraine,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1
696,United Arab Emirates,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
704,Uzbekistan,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
816,Vietnam,EAP,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
679,Yemen,NEA,2017,Q4,2017 Q4,1,0,0,54,95,58,1,2,"1,220",41,1,0,0,0,1,5,0,0
551,Zambia,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1
552,Zimbabwe,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,0,0,3,12,1,1,0,0,1,3,1,1
700,Afghanistan,SCA,2018,Q1,2018 Q1,2,1,1,277,"5,678","2,345",5,9,520,49,1,0,0,0,1,5,1,1
339,Albania,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,2,3,0
615,Algeria,NEA,2018,Q1,2018 Q1,2,0,0,2,17,5,0,0,0,113,0,0,0,0,0,2,1,1
540,Angola,AF,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,8,0,0,0,0,0,3,1,1
371,Armenia,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3,1,1
373,Azerbaijan,EUR,2018,Q1,2018 Q1,2,0,0,1,2,1,0,0,1,15,0,0,0,0,0,3,1,1
692,Bahrain,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,32,1,0,0,1,1,3,0,0
771,Bangladesh,SCA,2018,Q1,2018 Q1,2,0,0,7,4,2,4,3,0,63,0,0,0,0,0,4,1,1
370,Belarus,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,1,1
434,Benin,AF,2018,Q1,2018 Q1,2,0,0,6,0,0,7,7,0,6,1,0,0,0,0,2,3,0
346,Bosnia and Herzegovina,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,44,1,0,0,0,0,2,2,1
571,Botswana,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1
355,Bulgaria,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,81,1,0,0,0,0,2,2,1
439,Burkina Faso,AF,2018,Q1,2018 Q1,2,0,0,4,20,11,0,0,0,8,1,0,0,0,0,3,2,1
516,Burundi,AF,2018,Q1,2018 Q1,2,0,0,45,0,0,1,3,0,24,1,0,0,0,0,4,1,1
811,Cambodia,EAP,2018,Q1,2018 Q1,2,0,0,8,0,0,0,0,0,8,1,0,0,0,1,3,1,1
471,Cameroon,AF,2018,Q1,2018 Q1,2,0,0,86,150,83,1,1,0,3,1,0,0,0,0,4,1,1
482,Central African Republic,AF,2018,Q1,2018 Q1,2,1,1,193,7,19,5,16,6,6,0,0,0,0,1,3,1,1
483,Chad,AF,2018,Q1,2018 Q1,2,0,0,0,23,2,1,9,0,5,1,0,0,0,0,3,1,1
437,Cote d'Ivoire,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,1
344,Croatia,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,38,0,0,0,1,0,1,2,1
352,Cyprus,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,12,0,0,0,1,0,2,3,0
490,Democratic Republic of Congo,AF,2018,Q1,2018 Q1,2,1,1,313,155,85,23,205,18,28,0,0,0,0,0,5,1,1
522,Djibouti,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
651,Egypt,NEA,2018,Q1,2018 Q1,2,0,0,14,287,83,0,0,0,13,1,0,0,1,0,4,1,1
411,Equatorial Guinea,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
531,Eritrea,AF,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
572,eSwatini,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
530,Ethiopia,AF,2018,Q1,2018 Q1,2,0,1,122,26,5,7,21,0,60,0,0,0,0,0,4,1,1
481,Gabon,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
420,Gambia,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1
372,Georgia,EUR,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,154,0,0,0,0,0,2,2,1
452,Ghana,AF,2018,Q1,2018 Q1,2,0,0,4,0,0,1,0,0,6,0,0,0,0,0,3,3,0
350,Greece,EUR,2018,Q1,2018 Q1,2,0,0,2,0,0,0,0,0,38,0,0,0,0,0,1,2,1
438,Guinea,AF,2018,Q1,2018 Q1,2,0,0,6,0,0,0,0,0,14,0,0,0,0,0,3,1,1
404,Guinea-Bissau,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1
750,India,SCA,2018,Q1,2018 Q1,2,0,1,93,230,187,18,13,81,"2,399",1,0,0,0,0,4,2,1
850,Indonesia,EAP,2018,Q1,2018 Q1,2,0,0,2,0,1,1,1,0,164,1,0,1,0,1,3,2,1
630,Iran,NEA,2018,Q1,2018 Q1,2,0,0,2,4,1,0,0,0,400,1,0,0,0,0,4,1,1
645,Iraq,NEA,2018,Q1,2018 Q1,2,0,1,167,"1,152",455,37,41,233,54,1,0,0,0,0,4,1,1
666,Israel,NEA,2018,Q1,2018 Q1,2,0,0,12,0,0,0,0,48,82,1,0,0,0,0,3,3,0
663,Jordan,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0
705,Kazakhstan,SCA,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,7,1,0,0,0,0,3,1,1
501,Kenya,AF,2018,Q1,2018 Q1,2,0,0,34,41,19,5,22,0,35,0,0,0,0,0,4,1,1
690,Kuwait,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
703,Kyrgyzstan,SCA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,2,1
812,Laos,EAP,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
660,Lebanon,NEA,2018,Q1,2018 Q1,2,0,0,2,2,1,1,0,0,29,0,0,0,0,0,3,1,1
570,Lesotho,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
450,Liberia,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,2,1
620,Libya,NEA,2018,Q1,2018 Q1,2,0,1,69,50,17,37,56,2,25,0,0,0,0,0,5,0,0
580,Madagascar,AF,2018,Q1,2018 Q1,2,0,0,18,0,0,4,4,0,5,0,0,0,0,0,3,1,1
553,Malawi,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1
820,Malaysia,EAP,2018,Q1,2018 Q1,2,0,0,0,0,1,0,0,0,20,1,0,0,0,0,3,1,1
432,Mali,AF,2018,Q1,2018 Q1,2,0,0,62,118,47,14,48,88,4,0,0,0,0,0,4,2,1
435,Mauritania,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3,1,1
359,Moldova,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,2,1
341,Montenegro,EUR,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2,1,1
600,Morocco,NEA,2018,Q1,2018 Q1,2,0,0,0,0,2,0,0,0,53,0,0,0,0,0,2,0,0
541,Mozambique,AF,2018,Q1,2018 Q1,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,3,1,1
775,Myanmar,EAP,2018,Q1,2018 Q1,2,0,0,13,0,143,0,0,0,47,1,0,0,0,0,5,1,1
565,Namibia,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1
790,Nepal,SCA,2018,Q1,2018 Q1,2,0,0,0,0,1,0,0,0,59,1,0,0,0,0,3,2,1
436,Niger,AF,2018,Q1,2018 Q1,2,0,0,13,28,13,2,3,0,12,1,0,0,0,0,4,2,1
475,Nigeria,AF,2018,Q1,2018 Q1,2,1,1,868,621,77,190,807,1,112,1,0,0,0,0,4,2,1
343,North Macedonia,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,2,1
698,Oman,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
770,Pakistan,SCA,2018,Q1,2018 Q1,2,0,0,19,51,14,14,30,25,"1,225",0,0,0,0,0,4,1,1
840,Philippines,EAP,2018,Q1,2018 Q1,2,1,1,234,114,129,7,8,4,32,0,0,0,0,0,4,2,1
694,Qatar,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
484,Republic of Congo,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1
360,Romania,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,138,1,0,0,1,0,2,2,1
365,Russia,EUR,2018,Q1,2018 Q1,2,0,0,6,14,10,0,0,1,216,0,0,0,0,0,4,1,1
517,Rwanda,AF,2018,Q1,2018 Q1,2,0,0,12,0,0,0,0,3,2,1,0,0,0,0,3,1,1
670,Saudi Arabia,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,843,1,0,0,0,0,0,4,0,0
433,Senegal,AF,2018,Q1,2018 Q1,2,0,0,14,2,2,0,0,0,21,0,0,0,0,0,2,2,1
345,Serbia,EUR,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,22,0,0,0,1,0,2,1,1
451,Sierra Leone,AF,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,10,1,0,0,1,0,3,2,1
520,Somalia,AF,2018,Q1,2018 Q1,2,0,1,143,686,354,53,127,260,33,1,0,0,0,0,4,0,0
560,South Africa,AF,2018,Q1,2018 Q1,2,0,0,9,0,0,1,0,1,101,0,1,0,0,0,3,2,1
626,South Sudan,AF,2018,Q1,2018 Q1,2,0,1,156,120,93,43,256,2,7,0,0,0,0,1,5,0,0
780,Sri Lanka,SCA,2018,Q1,2018 Q1,2,0,0,2,0,0,1,1,0,44,1,0,0,0,0,3,2,1
625,Sudan,AF,2018,Q1,2018 Q1,2,0,0,56,50,31,30,95,0,35,0,0,0,0,0,5,1,1
652,Syria,NEA,2018,Q1,2018 Q1,2,1,1,287,"3,841","1,258",3,0,"2,732",49,1,0,0,0,0,5,0,0
702,Tajikistan,SCA,2018,Q1,2018 Q1,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,1,1
510,Tanzania,AF,2018,Q1,2018 Q1,2,0,0,7,0,0,0,0,0,4,1,0,0,0,0,3,2,1
800,Thailand,EAP,2018,Q1,2018 Q1,2,0,0,43,50,103,0,0,0,14,0,0,0,0,0,4,0,0
461,Togo,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,1
616,Tunisia,NEA,2018,Q1,2018 Q1,2,0,0,2,4,6,0,0,0,89,1,0,0,0,1,2,2,1
640,Turkey,EUR,2018,Q1,2018 Q1,2,0,0,6,215,71,2,7,0,6,0,0,0,1,1,5,1,1
701,Turkmenistan,SCA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1
500,Uganda,AF,2018,Q1,2018 Q1,2,0,0,11,0,0,3,0,1,10,1,0,0,0,0,3,1,1
369,Ukraine,EUR,2018,Q1,2018 Q1,2,0,0,2,73,"1,560",0,0,0,203,0,0,0,0,1,4,1,1
696,United Arab Emirates,NEA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
704,Uzbekistan,SCA,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
816,Vietnam,EAP,2018,Q1,2018 Q1,2,0,0,0,0,0,0,0,0,15,1,1,0,0,0,4,0,0
679,Yemen,NEA,2018,Q1,2018 Q1,2,0,0,63,162,67,1,0,"1,333",56,0,1,0,0,0,5,0,0
551,Zambia,AF,2018,Q1,2018 Q1,2,0,0,1,0,0,0,0,0,5,1,0,0,0,0,3,1,1
552,Zimbabwe,AF,2018,Q1,2018 Q1,2,0,0,0,0,0,1,1,0,17,1,0,0,0,1,3,1,1
700,Afghanistan,SCA,2018,Q2,2018 Q2,3,0,1,219,"9,200","3,312",3,8,406,91,1,0,0,0,1,5,1,1
339,Albania,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,47,0,0,0,0,0,2,3,0
615,Algeria,NEA,2018,Q2,2018 Q2,3,0,0,4,3,5,1,0,0,94,0,0,0,0,1,2,1,1
540,Angola,AF,2018,Q2,2018 Q2,3,0,0,3,4,1,0,0,0,6,0,0,0,0,0,3,1,1
371,Armenia,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,146,0,0,0,0,0,3,1,1
373,Azerbaijan,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,1,12,0,0,0,1,0,3,1,1
692,Bahrain,NEA,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,61,0,0,0,0,0,3,0,0
771,Bangladesh,SCA,2018,Q2,2018 Q2,3,0,0,18,3,3,1,0,0,55,1,0,0,0,0,4,1,1
370,Belarus,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,29,1,0,0,0,0,3,1,1
434,Benin,AF,2018,Q2,2018 Q2,3,0,0,7,0,0,4,9,0,2,0,0,0,0,0,2,3,0
346,Bosnia and Herzegovina,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,66,1,1,0,0,0,2,2,1
571,Botswana,AF,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1
355,Bulgaria,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,57,1,0,0,0,0,2,2,1
439,Burkina Faso,AF,2018,Q2,2018 Q2,3,0,0,7,12,30,1,1,0,18,1,0,0,0,0,3,2,1
516,Burundi,AF,2018,Q2,2018 Q2,3,0,0,84,0,0,14,14,0,32,1,0,0,0,0,4,1,1
811,Cambodia,EAP,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,1,1
471,Cameroon,AF,2018,Q2,2018 Q2,3,0,1,140,276,99,6,27,0,5,1,0,0,0,0,4,1,1
482,Central African Republic,AF,2018,Q2,2018 Q2,3,0,1,134,5,16,12,63,194,6,1,0,0,0,0,3,1,1
483,Chad,AF,2018,Q2,2018 Q2,3,0,0,2,0,0,1,7,0,1,1,0,0,0,1,3,1,1
437,Cote d'Ivoire,AF,2018,Q2,2018 Q2,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,2,1
344,Croatia,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,2,1
352,Cyprus,EUR,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,3,0
490,Democratic Republic of Congo,AF,2018,Q2,2018 Q2,3,0,1,210,91,43,37,57,1,21,0,0,0,0,0,5,1,1
522,Djibouti,AF,2018,Q2,2018 Q2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
651,Egypt,NEA,2018,Q2,2018 Q2,3,0,0,7,231,41,0,0,0,10,1,0,0,0,0,4,1,1
